execucao,custo,energia,chegou,vivo,caminho
0,6.0,40,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
1,7.0,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
2,6.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
3,6.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
4,8.0,40,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
5,6.0,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
6,5.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
7,10.5,45,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]"
8,7.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
9,6.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
10,9.0,15,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[4,3]>[5,4]"
11,6.5,45,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]"
12,9.0,65,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]"
13,9.5,45,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,1]>[2,2]>[1,3]>[1,4]"
14,10.5,10,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[4,3]>[5,4]>[4,5]"
15,5.0,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
16,9.0,50,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]"
17,6.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[6,3]"
18,10.5,10,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]"
19,5.5,60,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
20,5.5,30,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
21,6.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
22,6.0,5,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
23,7.0,60,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
24,5.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
25,8.0,0,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
26,6.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
27,7.5,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[5,4]"
28,8.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]"
29,6.0,30,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[6,3]"
30,9.0,65,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[6,3]>[5,4]>[4,5]"
31,8.0,15,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[7,3]>[8,4]"
32,6.5,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[3,1]"
33,4.0,60,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]"
34,5.5,30,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
35,5.5,40,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
36,5.5,5,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
37,5.5,10,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
38,4.0,70,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]"
39,5.5,70,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
40,5.5,55,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
41,7.0,65,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]"
42,5.5,55,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]"
43,9.0,25,false,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,1]>[1,2]"
44,7.0,55,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]"
45,5.0,60,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
46,6.0,20,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]"
47,5.0,60,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]"
48,12.0,65,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
49,8.0,60,false,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]"
