execucao,custo,competitividade,energia,chegou,vivo,caminho
0,12,1,-195,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
1,12,1,-80,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
2,13,"0,9230769231",-270,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,6]"
3,13,"0,9230769231",-270,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
4,12,1,-220,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
5,13,"0,9230769231",-55,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
6,"14,5","0,8275862069",-310,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[4,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,6]"
7,12,1,-125,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
8,13,"0,9230769231",100,true,true,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[6,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,6]"
9,13,"0,9230769231",-205,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
10,"13,5","0,8888888889",-330,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,1]>[1,2]>[1,3]>[1,4]>[1,5]>[2,6]"
11,13,"0,9230769231",-170,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
12,12,1,-110,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
13,"18,5","0,6486486486",-250,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[7,3]>[8,4]>[8,5]>[8,6]>[8,7]>[7,8]>[6,8]>[5,8]>[4,7]>[3,7]>[2,6]"
14,"14,5","0,8275862069",-155,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[7,2]>[6,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,6]"
15,12,1,-130,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
16,12,1,-235,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
17,13,"0,9230769231",-205,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
18,13,"0,9230769231",-230,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
19,12,1,-175,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
20,12,1,-235,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
21,12,1,-80,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
22,12,1,-30,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
23,12,1,-275,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
24,12,1,-375,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
25,12,1,-315,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
26,12,,-95,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
27,12,,15,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
28,12,,-130,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
29,12,,-100,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
30,12,,-175,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
31,12,,-120,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
32,12,,-150,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
33,12,,-150,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
34,12,,-270,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
35,12,,-80,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,0]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
