execucao,custo,energia,chegou,vivo,caminho
0,89.0,-4005,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,8]>[2,7]>[1,8]>[1,7]>[0,8]>[1,8]>[2,8]>[3,8]>[4,8]>[5,8]>[6,8]>[7,8]>[8,8]>[8,7]>[8,6]>[8,5]>[8,4]>[7,3]>[7,2]>[8,3]>[7,2]>[6,3]>[6,2]>[7,3]>[7,2]>[6,3]>[5,4]>[4,5]>[4,4]>[5,3]>[4,2]>[3,1]>[2,2]>[1,3]>[1,2]>[2,1]>[3,2]>[4,1]>[4,0]>[5,0]>[4,0]>[3,1]>[4,1]>[3,2]>[4,3]>[4,2]>[5,1]>[6,0]>[7,0]>[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[1,6]>[2,6]"
1,34.0,-1145,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[5,4]>[4,5]>[4,6]>[4,7]>[3,8]>[4,8]>[5,8]>[6,8]>[7,8]>[8,8]>[8,7]>[8,6]>[8,5]>[8,4]>[7,3]>[6,2]>[7,2]>[6,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,6]"
2,13.5,-140,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,1]>[1,2]>[1,3]>[1,4]>[1,5]>[2,6]"
3,15.0,-100,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,0]>[3,1]>[2,2]>[1,3]>[1,2]>[1,3]>[1,4]>[1,5]>[2,6]"
4,15.0,-150,true,false,"[8,0]>[7,0]>[6,0]>[5,0]>[4,1]>[3,2]>[2,1]>[3,1]>[2,2]>[1,3]>[1,4]>[1,5]>[2,6]"
5,13.0,-170,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
6,22.5,-610,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[6,2]>[7,3]>[8,3]>[7,3]>[8,4]>[8,5]>[8,6]>[8,7]>[7,8]>[8,8]>[7,8]>[6,8]>[5,8]>[4,8]>[3,7]>[2,6]"
7,12.0,-150,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[4,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
8,16.0,-425,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,0]>[4,1]>[3,2]>[4,3]>[5,4]>[4,5]>[4,6]>[3,7]>[2,6]"
9,13.0,-180,true,false,"[8,0]>[7,0]>[6,0]>[5,1]>[4,2]>[5,3]>[4,4]>[4,5]>[4,6]>[3,7]>[2,6]"
